epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1_score
1,1.4807457354536584,0.48509617737751454,1.7974105934143065,0.3645,0.46339399704385187,0.3645,0.31836624074689146
2,1.1758889462371258,0.582741911800695,1.3860879907608032,0.4919,0.5731704334516319,0.49190000000000006,0.47866757494342177
3,0.964217190650654,0.6612500611815378,1.3685234897613525,0.5225,0.6291209694196647,0.5225,0.4954943656101424
4,0.7964170687956337,0.7166071166364838,1.2118456647872924,0.5739,0.699958092738813,0.5739,0.5785965600888272
5,0.6600890969029316,0.7667270324506876,1.1729226282119751,0.5994,0.7174675647390737,0.5994,0.6003570755681714
6,0.5327873980909722,0.8143996867505262,1.6152888816833497,0.5455,0.678151063896874,0.5455,0.5214048292241545
7,0.4112564259516931,0.8572267632519212,1.0905574529647828,0.6629,0.7085017796840151,0.6629,0.6581441812407931
8,0.3086948366404035,0.893054671822231,1.3378780717849732,0.6295,0.7031433796021569,0.6295,0.6205808563573693
9,0.22318665860863976,0.9244285644363957,1.6202726814270019,0.5912,0.6948130189463818,0.5912,0.5753227415344035
10,0.18262895920437563,0.9384269002985659,1.252104577064514,0.6853,0.7180093915627823,0.6853,0.6759855187687018
11,0.1187403140686506,0.9596691302432578,1.6312449184417726,0.6342,0.6996048440732725,0.6342,0.6294180869164007
12,0.10112128389550634,0.9641720914296902,1.633435791015625,0.6442,0.7190462789462193,0.6442,0.635616153823614
13,0.1096770690207871,0.9628995154422202,1.597398571205139,0.6635,0.7090941740320069,0.6635,0.6627870539554273
14,0.08479913893988068,0.9721501639665214,1.6353522661209106,0.6559,0.7289456186406007,0.6558999999999999,0.6667936319178738
15,0.10047885049872039,0.9635358034359551,1.900562897491455,0.6175,0.698738174862495,0.6174999999999999,0.6047837260397376
16,0.08197177162890883,0.9714649307424992,1.3874022462844848,0.7042,0.7434147199632953,0.7041999999999999,0.7114902822056345
17,0.05826968959667196,0.980960305418237,1.4807047723770141,0.6686,0.7302905487626793,0.6686,0.6726116536515201
18,0.08013923091889683,0.9721012187362341,1.776052189064026,0.6504,0.7067909507578508,0.6504000000000001,0.6476541641764207
19,0.061166007789587126,0.9778278106798493,1.8778730953216554,0.6354,0.7040113678290311,0.6354,0.6223013688589935
20,0.07535435946545296,0.973031178111693,1.2260691719055177,0.7234,0.7384904115154665,0.7234,0.7258588389149739
21,0.03190279211064021,0.9898193921002398,1.4666396770477295,0.702,0.7232564990885256,0.7020000000000001,0.700832531753004
22,0.05694586911975045,0.9809113601879497,1.5650170677185058,0.6855,0.72835040711605,0.6855,0.6840988154317114
23,0.08278539099171557,0.9709754784396261,1.6365004280090332,0.6763,0.7247719375753615,0.6763,0.6776929081658858
24,0.03729476067060463,0.9879105281190348,1.5853881034851074,0.6866,0.7271857568404594,0.6866,0.6881682932278056
25,0.04366818596229907,0.9844354167686359,1.5518446743011474,0.6875,0.7220207640803707,0.6875000000000001,0.6885944520881817
26,0.061830428269814885,0.9788067152855954,1.8331676933288574,0.6666,0.7357787037763487,0.6666000000000001,0.6649410521198722
27,0.04671409496437009,0.9834075669326025,1.4205556617736816,0.713,0.7362904323323974,0.7130000000000001,0.7102835024381816
28,0.05248482067140327,0.9825265527874308,1.6471549182891845,0.6819,0.7378697704840284,0.6819,0.68545068123905
29,0.03802088307471851,0.9872252948950124,1.515217839050293,0.7095,0.7390008081198218,0.7095,0.7094286900759545
30,0.02976628267816391,0.9900641182516764,1.7240146503448486,0.6908,0.7277312050129597,0.6908000000000001,0.6890245981255846
