epoch,train_loss,train_acc,test_loss,test_acc,precision,recall,f1_score
1,0.17871599683369327,0.9423425187215506,0.17100827668905258,0.9451,0.9483107676694665,0.9450999999999998,0.9449455064033057
2,0.055485459878052645,0.9811560863393862,0.17544862571656705,0.9499,0.9514306297940278,0.9498999999999999,0.94982974794298
3,0.045709890302472224,0.9839459644657628,0.20416764255166053,0.9395,0.9423314274894068,0.9395,0.9397360417244947
4,0.03869645217220057,0.9879105281190348,0.177460878187418,0.9479,0.9500833986414916,0.9479,0.9478221828517434
5,0.026666004571620244,0.9920708726934561,0.3106392310500145,0.9213,0.9292123835914271,0.9212999999999999,0.9215968846575004
6,0.0339079856030529,0.9884489256521952,0.17925817244648934,0.9521,0.9538364009074332,0.9521,0.9519914312348241
7,0.026204324017393858,0.9918261465420195,0.21227771516516805,0.9456,0.9480087216223213,0.9456,0.945688539512536
8,0.02826106766998736,0.9907493514756986,0.20826242206692697,0.9489,0.9509694112646553,0.9489000000000001,0.9490594362543169
9,0.018294477201090203,0.9941755175958102,0.24933994401283563,0.943,0.9462339483944658,0.9430000000000002,0.9429017542841116
10,0.02279049928128098,0.9923155988448925,0.2392629407376051,0.943,0.9462549639354556,0.943,0.9428756498676181
11,0.017647700950409993,0.9940776271352356,0.21084762670993806,0.946,0.9476951491463744,0.9460000000000001,0.9461050976686696
12,0.02896262638518466,0.990308844403113,0.23766854049563407,0.9347,0.9393835228673625,0.9347,0.9351251968868572
13,0.014173601938031516,0.9957907101952914,0.21041556626483798,0.9528,0.9543218547293717,0.9528000000000001,0.9527302562217163
14,0.02430195332435795,0.992707160687191,0.19008239806890487,0.9492,0.95107305557145,0.9491999999999999,0.9494668296709016
15,0.017590854334271686,0.9943712985169595,0.2193900213226676,0.9474,0.9497571543437946,0.9474,0.9476648472228014
16,0.01269213546217823,0.9961822720375899,0.29283868401050567,0.931,0.936619745821543,0.931,0.931417619407001
17,0.01786357390208488,0.9943712985169595,0.22929392644166946,0.9442,0.9464077178518366,0.9442000000000002,0.9442326799611009
18,0.014089808554997264,0.9957417649650041,0.3859845479130745,0.9141,0.9233240363452563,0.9141,0.913975514466087
19,0.010317809836931046,0.9969164504918996,0.27457279732543977,0.9428,0.9455873682890962,0.9427999999999999,0.9430930276111621
20,0.02484094198275922,0.9915324751602956,0.20352460379004478,0.9519,0.953085190836091,0.9519,0.9520217297384679
21,0.012480828272100867,0.995545984043855,0.26836902616024016,0.9372,0.9394912493793116,0.9372,0.9371627620399818
22,0.017137172262314555,0.9949096960501199,0.245990296959877,0.9409,0.9436830288362739,0.9408999999999998,0.9409699599359561
23,0.016281625431706345,0.9949586412804072,0.259370798265934,0.9336,0.936028470662088,0.9336,0.9331735242813279
